id;kodeinstansi;tipetabel;notabel;judultabel;judultabelen;created_at;updated_at
186;045;045007;7;Banyaknya Fasilitas Olahraga Menurut Desa/Kelurahan di Kecamatan Donri-Donri;Number of Sport Facilities by Villages/Urban Villages in Donri-Donri Subdistrict;;
187;045;045008;8;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Donri-Donri;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Donri-Donri Subdistrict;;
188;045;045009;9;Banyaknya Tempat Rekreasi Menurut Desa/Kelurahan di Kecamatan Donri-Donri;Number of Recreation Area by Villages/Urban Villages in Donri-Donri Subdistrict;;
189;027;027001;1;Banyaknya Anggota DPRD Menurut  Partai Politik dan Jenis Kelamin di Kabupaten Soppeng;Number of Regional  Parliaments Members by Poltical Party and Sex in Soppeng Regency;;
190;027;027002;2;Survei Polkam BPS;BPS Polkam Survey;;
191;027;027003;3;Banyaknya Anggota DPRD Menurut Nama Fraksi dan Jenis Kelamin di Kabupaten Soppeng;Number of Regional Parliaments Members by Political Faction and Sex in Soppeng Regency;;
192;027;027004;4;Komposisi Jabatan Anggota DPRD Menurut Nama Komisi di Kabupaten Soppeng;Compotition of Regional Parliaments Members Position by Commission Name  in Soppeng Regency;;
193;027;027005;5;Banyaknya Keputusan DPRD Menurut Jenis Keputusan di Kabupaten Soppeng;Number of Regional Parliaments Decision by Decision Category in Soppeng Regency;;
194;004;004001;1;Banyaknya Sarana dan Prasarana Kebersihan Menurut Jenis di Kabupaten Soppeng;Number of sanitation facilities and infrastructure by type in Soppeng Regency;;
195;004;004002;2;Daftar Nama dan Alamat Taman Kota di Kabupaten Soppeng;List of Name and Addreses of City Parks in Soppeng Regency;;
196;004;004003;3;VOLUME PRODUKSI SAMPAH KABUPATEN SOPPENG;Waste Production Volume in Soppeng Regency;;
