id;kodeinstansi;tipetabel;notabel;judultabel;judultabelen;created_at;updated_at
120;046;046004;4;Banyaknya Lingkungan, Dusun, RW dan RT Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Urban Backwoods, Backwoods, Hamlets and Neighbourhoods by Villages/Urban Villages in Marioriawa Subdistrict;;
121;046;046005;5;Banyaknya Kelembagaan Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Villages/Urban Villages Institutional by Villages/Urban Villages in Marioriawa Subdistrict;;
122;046;046006;6;Banyaknya Surat Miskin dan Kartu Askeskin Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Poor Letter and Poor Health Insurance Card by Villages/Urban Villages in Marioriawa Subdistrict;;
123;046;046007;7;Banyaknya Fasilitas Olahraga Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Sport Facilities by Villages/Urban Villages in Marioriawa Subdistrict;;
124;046;046008;8;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Marioriawa Subdistrict;;
125;046;046009;9;Banyaknya Tempat Rekreasi Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Recreation Area by Villages/Urban Villages in Marioriawa Subdistrict;;
126;039;039001;1;Wilayah dan Topografi Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Area and Topography of Villages/Urban Villages by Villages/Urban Villages in Marioriwawo Subdistrict;;
127;039;039002;2;Jarak ke Ibukota Kecamatan dan ke Ibukota Kabupaten Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Distance to Capital Subdistrict and Capital Regency by Villages/Urban Villages in Marioriwawo Subdistrict;;
128;039;039003;3;Banyaknya Pegawai Instansi dan Kantor Pemerintah di Kecamatan Marioriwawo;Number of Employee of Agency and Government Office  in Marioriwawo Subdistrict;;
129;039;039004;4;Banyaknya Lingkungan, Dusun, RW dan RT Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Urban Backwoods, Backwoods, Hamlets and Neighbourhoods by Villages/Urban Villages in Marioriwawo Subdistrict;;
130;039;039005;5;Banyaknya Kelembagaan Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Villages/Urban Villages Institutional by Villages/Urban Villages in Marioriwawo Subdistrict;;
131;039;039006;6;Banyaknya Surat Miskin dan Kartu Askeskin Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Poor Letter and Poor Health Insurance Card by Villages/Urban Villages in Marioriwawo Subdistrict;;
132;039;039007;7;Banyaknya Fasilitas Olahraga Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Sport Facilities by Villages/Urban Villages in Marioriwawo Subdistrict;;
133;039;039008;8;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Marioriwawo Subdistrict;;
134;039;039009;9;Banyaknya Tempat Rekreasi Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Recreation Area by Villages/Urban Villages in Marioriwawo Subdistrict;;
135;040;040001;1;Wilayah dan Topografi Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Lalabata;Area and Topography of Villages/Urban Villages by Villages/Urban Villages in Lalabata Subdistrict;;
136;040;040002;2;Jarak ke Ibukota Kecamatan dan ke Ibukota Kabupaten Menurut Desa/Kelurahan di Kecamatan Lalabata;Distance to Capital Subdistrict and Capital Regency by Villages/Urban Villages in Lalabata Subdistrict;;
137;040;040003;3;Banyaknya Pegawai Instansi dan Kantor Pemerintah di Kecamatan Lalabata;Number of Employee of Agency and Government Office  in Lalabata Subdistrict;;
138;040;040004;4;Banyaknya Lingkungan, Dusun, RW dan RT Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Urban Backwoods, Backwoods, Hamlets and Neighbourhoods by Villages/Urban Villages in Lalabata Subdistrict;;
139;040;040005;5;Banyaknya Kelembagaan Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Villages/Urban Villages Institutional by Villages/Urban Villages in Lalabata Subdistrict;;
140;040;040006;6;Banyaknya Surat Miskin dan Kartu Askeskin Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Poor Letter and Poor Health Insurance Card by Villages/Urban Villages in Lalabata Subdistrict;;
141;040;040007;7;Banyaknya Fasilitas Olahraga Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Sport Facilities by Villages/Urban Villages in Lalabata Subdistrict;;
142;040;040008;8;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Lalabata Subdistrict;;
143;040;040009;9;Banyaknya Tempat Rekreasi Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Recreation Area by Villages/Urban Villages in Lalabata Subdistrict;;
144;041;041001;1;Wilayah dan Topografi Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Liliriaja;Area and Topography of Villages/Urban Villages by Villages/Urban Villages in Liliriaja Subdistrict;;
145;041;041002;2;Jarak ke Ibukota Kecamatan dan ke Ibukota Kabupaten Menurut Desa/Kelurahan di Kecamatan Liliriaja;Distance to Capital Subdistrict and Capital Regency by Villages/Urban Villages in Liliriaja Subdistrict;;
146;041;041003;3;Banyaknya Pegawai Instansi dan Kantor Pemerintah di Kecamatan Liliriaja;Number of Employee of Agency and Government Office  in Liliriaja Subdistrict;;
147;041;041004;4;Banyaknya Lingkungan, Dusun, RW dan RT Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Urban Backwoods, Backwoods, Hamlets and Neighbourhoods by Villages/Urban Villages in Liliriaja Subdistrict;;
148;041;041005;5;Banyaknya Kelembagaan Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Villages/Urban Villages Institutional by Villages/Urban Villages in Liliriaja Subdistrict;;
149;041;041006;6;Banyaknya Surat Miskin dan Kartu Askeskin Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Poor Letter and Poor Health Insurance Card by Villages/Urban Villages in Liliriaja Subdistrict;;
150;041;041007;7;Banyaknya Fasilitas Olahraga Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Sport Facilities by Villages/Urban Villages in Liliriaja Subdistrict;;
151;041;041008;8;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Liliriaja Subdistrict;;
152;041;041009;9;Banyaknya Tempat Rekreasi Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Recreation Area by Villages/Urban Villages in Liliriaja Subdistrict;;
153;042;042001;1;Wilayah dan Topografi Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Ganra;Area and Topography of Villages/Urban Villages by Villages/Urban Villages in Ganra Subdistrict;;
154;042;042002;2;Jarak ke Ibukota Kecamatan dan ke Ibukota Kabupaten Menurut Desa/Kelurahan di Kecamatan Ganra;Distance to Capital Subdistrict and Capital Regency by Villages/Urban Villages in Ganra Subdistrict;;
155;042;042003;3;Banyaknya Pegawai Instansi dan Kantor Pemerintah di Kecamatan Ganra;Number of Employee of Agency and Government Office  in Ganra Subdistrict;;
